Date,Open,High,Low,Close,Adj Close,Volume
2020-07-07,2275.000000,2302.699951,2232.149902,2269.899902,2255.204102,5630055
2020-07-08,2270.000000,2274.399902,2207.600098,2218.899902,2204.534424,2793358
2020-07-09,2229.000000,2244.500000,2191.050049,2204.350098,2190.078613,3443998
2020-07-10,2205.250000,2249.850098,2176.000000,2222.350098,2207.962158,9610320
2020-07-13,2220.000000,2244.949951,2210.000000,2220.000000,2205.627441,2963503
2020-07-14,2210.000000,2239.000000,2165.000000,2171.949951,2157.888428,2976738
2020-07-15,2185.000000,2260.000000,2181.100098,2233.899902,2219.437256,5569321
2020-07-16,2244.000000,2333.000000,2220.100098,2234.750000,2225.262451,8582118
2020-07-17,2237.000000,2243.899902,2190.050049,2200.750000,2191.406738,4509135
2020-07-20,2201.000000,2226.899902,2190.800049,2207.899902,2198.526367,2952646
2020-07-21,2230.000000,2238.649902,2201.149902,2225.050049,2215.603760,2665286
2020-07-22,2231.000000,2231.000000,2184.199951,2190.949951,2181.648438,2861534
2020-07-23,2190.949951,2190.949951,2163.000000,2171.199951,2161.982178,2265766
2020-07-24,2154.500000,2163.000000,2125.100098,2157.399902,2148.240723,3665100
2020-07-27,2165.000000,2215.000000,2163.500000,2206.800049,2197.431152,4248480
2020-07-28,2215.000000,2320.000000,2215.000000,2309.750000,2299.944092,8092319
2020-07-29,2292.000000,2342.000000,2246.050049,2276.050049,2266.387207,6090431
2020-07-30,2285.899902,2358.000000,2272.250000,2279.500000,2269.822510,7098496
2020-07-31,2303.149902,2334.800049,2257.449951,2281.399902,2271.714355,4723290
2020-08-03,2290.449951,2303.850098,2230.699951,2254.149902,2244.580078,4012337
2020-08-04,2259.949951,2269.649902,2225.050049,2249.699951,2240.148926,2927928
2020-08-05,2260.000000,2300.000000,2253.000000,2259.500000,2249.907471,3800641
2020-08-06,2275.000000,2319.500000,2265.350098,2308.100098,2298.301270,4748047
2020-08-07,2308.000000,2328.000000,2287.000000,2295.350098,2285.605225,3165491
2020-08-10,2318.000000,2325.000000,2276.050049,2282.800049,2273.108398,2929353
2020-08-11,2283.000000,2312.000000,2275.600098,2279.899902,2270.220703,2774423
2020-08-12,2288.350098,2296.399902,2246.550049,2257.350098,2247.766602,3415751
2020-08-13,2273.000000,2300.000000,2250.500000,2254.449951,2244.878662,2695682
2020-08-14,2277.000000,2281.300049,2233.100098,2242.149902,2232.630859,2270405
2020-08-17,2263.000000,2270.000000,2238.250000,2253.399902,2243.833252,2625630
2020-08-18,2262.800049,2289.000000,2248.300049,2269.750000,2260.113770,3493374
2020-08-19,2276.350098,2284.600098,2252.500000,2256.600098,2247.019775,2843005
2020-08-20,2257.000000,2276.550049,2240.050049,2252.850098,2243.285645,2895164
2020-08-21,2260.000000,2271.000000,2241.050049,2248.600098,2239.053711,1975294
2020-08-24,2250.600098,2259.949951,2230.000000,2248.100098,2238.555908,2167966
2020-08-25,2245.000000,2250.000000,2233.550049,2242.649902,2233.128906,1663419
2020-08-26,2242.000000,2259.899902,2216.449951,2253.500000,2243.932861,2618149
2020-08-27,2266.000000,2287.350098,2241.750000,2248.399902,2238.854492,3579393
2020-08-28,2268.399902,2279.949951,2235.100098,2238.550049,2229.046387,2941136
2020-08-31,2240.000000,2276.199951,2228.000000,2257.250000,2247.666992,6018154
2020-09-01,2269.000000,2278.000000,2241.300049,2246.350098,2236.813232,3610908
2020-09-02,2247.000000,2268.750000,2241.649902,2265.149902,2255.533203,2084137
2020-09-03,2268.000000,2324.000000,2268.000000,2299.500000,2289.737549,4654146
2020-09-04,2275.000000,2324.250000,2262.949951,2288.800049,2279.083008,5231303
2020-09-07,2289.000000,2343.500000,2283.350098,2327.050049,2317.170654,4620401
2020-09-08,2335.949951,2390.449951,2327.050049,2348.199951,2338.230713,7453998
2020-09-09,2325.000000,2359.000000,2320.000000,2327.649902,2317.768066,3866535
2020-09-10,2335.000000,2348.500000,2324.300049,2331.149902,2321.253174,2308813
2020-09-11,2330.949951,2383.000000,2330.149902,2374.100098,2364.020996,4145424
2020-09-14,2384.100098,2505.750000,2381.850098,2491.399902,2480.822754,7512131
2020-09-15,2491.399902,2538.000000,2464.600098,2491.399902,2480.822754,7318770
2020-09-16,2488.949951,2507.600098,2477.300049,2503.000000,2492.373535,3074003
2020-09-17,2480.000000,2495.750000,2450.600098,2460.949951,2450.502197,4828176
2020-09-18,2485.000000,2500.399902,2436.399902,2449.899902,2439.499023,4183256
2020-09-21,2465.000000,2504.899902,2452.149902,2465.300049,2454.833740,4598809
2020-09-22,2485.000000,2555.000000,2458.000000,2522.949951,2512.238770,7499613
2020-09-23,2510.000000,2519.850098,2409.000000,2467.449951,2456.974609,7502280
2020-09-24,2450.000000,2450.000000,2302.600098,2332.250000,2322.348633,8424708
2020-09-25,2368.000000,2440.000000,2352.100098,2422.300049,2412.016357,8228267
2020-09-28,2440.000000,2444.000000,2366.000000,2426.300049,2415.999268,4347166
2020-09-29,2434.850098,2511.050049,2426.300049,2488.399902,2477.835449,6995811
2020-09-30,2489.000000,2505.000000,2460.000000,2492.300049,2481.718994,3917166
2020-10-01,2510.000000,2540.000000,2492.300049,2523.449951,2512.736816,2610337
2020-10-05,2620.000000,2728.100098,2603.050049,2705.800049,2694.312744,17412105
2020-10-06,2736.000000,2736.000000,2650.100098,2714.300049,2702.776611,9846367
2020-10-07,2742.000000,2770.000000,2703.000000,2735.949951,2724.334473,9656101
2020-10-08,2800.000000,2885.000000,2800.000000,2825.699951,2813.703613,19839329
2020-10-09,2810.000000,2829.850098,2780.000000,2812.949951,2801.007568,7739245
2020-10-12,2815.500000,2854.000000,2800.750000,2830.000000,2817.985352,4623203
2020-10-13,2845.000000,2854.899902,2812.199951,2826.550049,2814.550049,4209878
2020-10-14,2842.000000,2842.000000,2787.550049,2809.600098,2809.600098,4395936
2020-10-15,2811.000000,2827.750000,2727.000000,2740.600098,2740.600098,6629355
2020-10-16,2750.100098,2771.649902,2731.300049,2763.300049,2763.300049,5273773
2020-10-19,2774.000000,2774.000000,2706.600098,2711.550049,2711.550049,3331194
2020-10-20,2725.000000,2759.899902,2717.949951,2739.000000,2739.000000,3406273
2020-10-21,2739.000000,2749.000000,2663.050049,2675.399902,2675.399902,4570143
2020-10-22,2661.000000,2686.649902,2638.100098,2671.149902,2671.149902,5262294
2020-10-23,2687.800049,2702.000000,2670.100098,2686.800049,2686.800049,3499091
2020-10-26,2689.949951,2709.949951,2670.500000,2688.199951,2688.199951,2672752
2020-10-27,2699.750000,2718.149902,2624.100098,2630.149902,2630.149902,3537502
2020-10-28,2650.000000,2655.949951,2606.000000,2622.199951,2622.199951,3569445
2020-10-29,2608.000000,2655.000000,2600.250000,2632.649902,2632.649902,3105968
